text,sentiment
I love this product,positive
This is terrible,negative
Great experience,positive
Not good at all,negative
Absolutely fantastic,positive
Very disappointed,negative
Highly recommend,positive
Waste of money,negative
Best purchase ever,positive
Would not buy again,negative
Amazing quality,positive
Poor customer service,negative
Excellent value for money,positive
Completely useless,negative
Exceeded my expectations,positive
Total disaster,negative
Will buy again,positive
Never again,negative
Outstanding performance,positive
Horrible experience,negative
